Title,Author,Content,TimeStamp,Rating
Useless,Dirtypetenz,"App performs poorly, looks good from a UI perspective but the back end is terrible.

Week before the biggest rugby event, letter arrives saying we can’t watch due to the internet at our place (provided by spark who own Spark sport). Now this is an issue but not sparks sports, so I made arrangements to view at a mates place who has 100/20. So I know that’s good. This is where the troubles start. 

Picture quality is terrible,  stutters and looses picture all the time, the 3 dots of death (buffering) and audio issues, and that’s just so far. This company were not prepared to put development into this app or the back end and have been blaming everyone or thing for the issues. The overseas streaming is done by Akamai, who appear to know what they are doing but the app constantly freezes and crashes. I’ve turned the auto update on, deleted it and reinstalled it, then not used the app and used the website and got the same results.

I should have read the reviews that pointed out constant streaming issues with smaller events. I have no faith this will be fixed without the company ducking for cover, and anticipate a copy and paste reply or passive aggressive reply about this review. Check their Facebook page for more info about the app issues and streaming issues, but be aware, they are deleting people’s comments. 

Poor effort spark sport, poor streaming and crashes has ruined the RWC for us all.",2019-10-06T02:03:23-07:00,1
Absolutely average,ghost shagger,Watching delayed World Cup games an you can’t fast forward ads at half time or rewind to see tries or incidents that have happened. A simple update of this would help. Frustrating at all hell,2019-10-05T23:47:05-07:00,1
Smooth stream,LJE96,No problems streaming via chromecast/iPhone on VDSL and fibre connections made affordable compared to getting locked into a contract with sky,2019-10-05T21:41:50-07:00,5
Minus 5 Stars,Smbazalo,"An absolute piece of sh**. 

Spent half the RWC games watching it buffer. Swapping in an out from just about acceptable quality to crappy 20 pixels on the screen quality. Or having to restart it cause the stream crapped itself.

Designed well. But unusable for watching the World Cup when it comes to the connection of the stream.  

:(",2019-10-05T02:18:19-07:00,1
What a joke,Marossi,What a joke,2019-10-04T22:49:40-07:00,1
Spark!,Halalmeets,"Why can’t I watch? 
It says NZ has been knocked out. ‘No further matches’",2019-10-02T03:28:28-07:00,1
Not bad... but,KIWI330,"Haven’t had too many problem’s but for some reason if you try to start watching game a little after kick off it doesn’t work. It only says coverage will start shortly. Real pain as I’ve missed the first 15-20 minutes of a few games during the RWC because after some time it gets annoying and switch the live feed. 
Other than that the picture quality is normally very good, I do have very good fibre though.",2019-10-02T01:24:09-07:00,3
Unreliable,Redgenz,"Buggy, slow and unreliable. A great way to watch the RWC.",2019-10-01T11:44:05-07:00,2
So much lag on the app,newsunder23,"I have paid for the subscription of this app so that I can watch a decent game of football but the app isn’t half as good bein spots . The streaming doesn’t function without lagging, not even once. 
I hope they really work on this app or else they will loose the market sooner than later.",2019-09-30T22:08:50-07:00,2
Can’t Register,tallllliiii,How do I register for this App,2019-09-30T00:04:52-07:00,5
Good,HouseCat88,"Looking great at 1080p 60fps on my chromecast ultra. 
Only slight issue is the noticeable artefacting on the grass/field when the wide angle camera pans left or right ( in the World Cup rugby 2019)

It may be a technical stretch but if you could bump the bitrate to 10Mbps I think the picture would look outstanding 🙂👍🏻",2019-09-29T19:38:00-07:00,4
Unreliable,JohnlivesinNZ,Sometimes when watching using airplay it will work fine but half the time when I close my phone it will exit out of the live or recorded game and I will have to reconnect and find my place. I use Fibre internet so isn’t an internet issue ... :(,2019-09-29T17:49:29-07:00,2
Very limited app,hexeyman,"Updated review
I reviewed this several months ago during the beta release and a free trial, giving it 2 out of 5. Coming back to it recently not much has changed.

On the plus side:
-Picture quality is good on my iPhone and laptop. There are occasional pauses for buffering but nothing serious with my 100mbs fibre connection. That is the plus points done with. 

On the negative side:
- There is no search function meaning it is difficult to find what you want quickly.
- There is no way to identify the sports and events of interest to you meaning the home page is dominated with irrelevant content.
- Sound consistently becomes out of sync with the picture. The longer the event the greater the difference. For example, at the end of a 2 hour Grand Prix this is a 5 to 10 second difference. Reloading the stream doesn’t fix it.
- It is impossible to purchase access for individual sports events. You need to pay full price for everything even if you don’t want it. Interested in a particular grand prix or football match but don’t want to pay for the whole service? Tough. Pay for everything or get nothing. It is an outdated business model which doesn’t fit a streaming service. 

I still cannot recommend this product. It needs significant improvements to deliver and consistent product and pricing model which welcomes those with a passing interest to watch instead of serving die hard fans.",2019-09-29T15:54:01-07:00,2
App is pointless,teeelesssa,Not recommended if you want to watch Rugby World Cup. Wasted money on this. Also it kept dropping off my casting options. So there were times where I couldn’t stream to the tv had to watch it on my phone.,2019-09-28T07:18:00-07:00,1
Rubbish,hatespark,"It casting ok sometimes and not other times...don't have any issues casting Netflix, Neon etc...just Spark Sports. Spark has ruined Sports viewing in NZ",2019-09-28T05:04:56-07:00,1
Not a Good Experience,eracode,"Subscribed for RWC. Watching games on-demand at off-peak times, many times during a game the picture pixelates and freezes. Also the picture is continuously switching in and out of HD all though a game. Overall not a great experience.

Watching via ultrafast fibre, iPad Pro > Chromecast > 2018 LG OLED TV.

Spark Sport promised there would be an app for this TV so we paid for the app in good faith - then they reneged on their promise. Unimpressed.

Edit: Just watched our first live game - JPN v IRE. More pixelation, freezing, buffering. Very frustrating. About half the game was at less than HD resolution. Simply not good enough. Have changed rating from 2- to 1-star.",2019-09-28T02:53:42-07:00,1
Can’t log in,magnoliabl,"Can’t log in on my phone, even though it works fine on my laptop (and I’m logged out on my laptop, been through all the troubleshooting). Got the same problem on the TV today even though the TV worked fine previously. Rubbish!",2019-09-28T02:05:18-07:00,1
Image freeze,mynameisills,Image constantly freezes when there is a static graphic on screen while streaming from iPhone to AppleTV. The audio still plays however. A quick fast forward brings back the moving video.,2019-09-27T21:41:42-07:00,2
Really poor on all levels,Farrofresh,"Really poor app - but even more so absolutely terrible marketing ads. Seriously - someone shouting ‘Spark sport’ over and over? There’s such a big disconnect between the business and users, you really need to engage in some rigorous consumer engagement sessions to understand your customer.",2019-09-27T16:43:33-07:00,1
New iOS killed chromecast,Bigleftys,"App works fine apart from no longer letting me cast to chromecast since I updated my iPhone to the new iOS. 

Disappointing.",2019-09-27T16:07:27-07:00,2
Not Fit For Purpose,can you see RWC ?,Why will this app still not load and play the content ???,2019-09-25T01:21:29-07:00,1
Works well for me,PG 435,The negative reviews seem exaggerated to me. I’ve watched four RWC games so far and have had no issues whatsoever. Love the lack of ads. Good on Spark for trying something new and breaking the Sky monopoly.,2019-09-22T17:28:00-07:00,5
Unreliable on iPad,georgema,"Poor quality stream last week but ok on laptop and phone.  This week can’t stream as get a message saying need a subscription, which I already have, and am logged in. Using phone now but it’s a faff and should work if I have an up to date subscription. 2018 iPad 9.7 in using latest OS as of 23/9/19",2019-09-22T05:44:35-07:00,2
Yos,nigroa,Inconsistent quality and video flow needs a lot of work can also lag a lot,2019-09-22T03:23:46-07:00,1
Rubbish app; casting problems,Nitrosnav,There hasn’t been a single instance where we’ve been casting video on Apple TV from the app and the video does not freeze. Every. Single. Time. Especially if there is an ad break and/or a static image on screen. Just a pathetic excuse for an app that casts to Apple TV. FIX IT PLEASE !,2019-09-21T19:27:46-07:00,1
Works well most of the time,Phil_N,No problems with functionality in a variety of situations including hotel wifi with a VPN for security. Some buffering during SA game but picture quality outstanding.,2019-09-21T17:55:05-07:00,4
Very poor option - find something else,ffthjvhjvghjctyjkgu,"Update: extremely poor handling. You should never have taken on this service if you could not handle it. I’m happy it’s working for some people, but the buffering and freezing makes live sport unwatchable for others, including me. We were able to watch the first three games with just some quality issues, but the ABs game was terrible - gave up. Want a full refund.",2019-09-21T15:09:20-07:00,1
Disappointed,asteer15,Watching the game live it was very blurry at times not the greatest app was better watching when sky had the World Cup pretty disappointed,2019-09-21T13:27:17-07:00,3
Just like a bar in Thailand,Kiwijames,"Choppy, low res intermittent stoppage. Similar to a dodgy pirated streaming feed.",2019-09-21T04:06:43-07:00,1
Clunky,mtcp99,“Watch from beginning”  option takes you to “Live”. So you see the score - not great.  “Back 10” and “forward 10” buttons intermittently disappear. Rewind scroll bar at bottom does not rewind or display the time moving back.$90 bucks for a buggy app - good one Spark!,2019-09-21T03:47:09-07:00,1
Upset viewer,Steve-1974,"The quality is really poor. Just watching the all blacks and the picture is rubbish. I swallowed my pride today and bought the World Cup pass, really hope you get it sorted",2019-09-21T03:36:41-07:00,1
Terrible,boebig69,Fucken horrible. Bring back sky sport,2019-09-21T03:12:56-07:00,1
Don’t bother,nzthatguy,Terrible! We have 200mb down and up fibre and have tried on three different devices including a high end i7 gaming computer and the buffering is making rwc unwatchable!,2019-09-21T03:07:25-07:00,1
App isn’t compatible with all devices,rwc2019fan,Sort your app out. We are paying for the app to be available to us and also paying for rugby World Cup and you can’t even get your app available to all devices. Sky sport is so why can’t you.,2019-09-21T03:02:06-07:00,1
Green screen?,Mcarrsmith,Commentary and a green screen. What’s that all about?,2019-09-21T02:19:09-07:00,1
Seamless experience,katehaselhoff,Works perfectly,2019-09-21T01:19:10-07:00,5
Ruining a lovely evening,alis mate,Selfish and poor form to buy the rights to the rwc... Now I have to sit here and do nose beers with Ali Williams while we watch the game on my phone and not sky sport. Absolutely dog,2019-09-20T22:42:53-07:00,1
A bit shonky,Baudcranium,"Tried to watch RWC opening ceremony last night. Clicked the button watch from beginning. Waited. ""Please stay tuned scheduled program will start shortly"". Waited. 20 minutes later I'm thinking it can't be that late starting so I go back a step and click watch live and there it is 20 minutes into the ceremony! Come on Spark please get it together!",2019-09-20T13:48:02-07:00,2
Disaster Rugby World Cup,FloasyM,Tried to watch opening game but all i got was Freezes freezes freezes- how do I get my money back?,2019-09-20T06:03:54-07:00,1
How do you even register???,Graym,"Downloaded app. Worst UX I’ve ever encountered, doesn’t even tell you how to register? How do I get a login? Am I supposed to google it myself and hope I get scammed?",2019-09-20T04:06:09-07:00,1
This app is a joke,this app is a joke 149,Non unitive can’t cast to smart TVs have to sign up on a desktop can’t do it on iPad this app is a joke,2019-09-20T00:43:29-07:00,1
Gutted,Saxon TePapa,Gutted I can’t get on my LG tv,2019-09-19T19:20:06-07:00,1
Shayne,shay-no,This app is the worst ever.  It is asking me to log in and will not accept anything I enter.  It then keeps telling me I have the wrong password or login but I have never been given the opportunity to enter any details.  Hopeless,2019-09-19T02:02:20-07:00,1
Loving it,Tokyogtr1,So far I’ve been able to watch F1 perfectly anywhere. Even on a mountain with 3G. Great app always getting better.  Now if only it had PGA golf too!!,2019-09-18T22:37:42-07:00,5
Beware,Elkabyle,"Beware if you want to suspend your subscription... spark won’t let you watch any content from the date you cancel, NOT from the end of your billing cycle, unlike others like beIN or Netflix.
I suspended my account a week before the end of my cycle, thinking I could watch another week. No luck. And they don’t want to give a partial refund. They still treat customers very badly. 
Would not recommend for that reason.",2019-09-15T22:49:00-07:00,1
How do I log in,Jakaree32,How do I log in? I enter my email address and password and it says it’s invalid? But there’s no we’re to register??,2019-09-14T18:51:43-07:00,1
Damo,Jettison5,Terrible app and service. 2nd time now that a few premier league soccer games weren’t  posted for steaming. It’s opposed to be on Demand!!! Give us the service we are paying for!!!!!,2019-09-14T15:55:43-07:00,1
"Hopeless, it’s useless for the rugby World Cup.",the big fletch,"$89 for an app that won’t run on my Apple TV 4. I have the correct app and correct Apple TV but it refuses to accept my password. 
I tried to live chat for help but it’s closed for the night, no help. 
The help page is of no help.
I have updated my Apple TV, it’s good to go. But the app is hopeless, it won’t logon. Don’t buy it, it’s not worth the money for the rugby World Cup.",2019-09-14T01:59:29-07:00,1
Worst streaming experience ever - too restrictive,Danger Mouze,"Tells me I’m using in too many devices. I’ve only ever used on my phone and one pc. I log out my sky sport account on the pc and closed the browser. Open the app and it says I cannot watch - too many devices in use. There are no (zero) other devices in use. I understand the desire to stop sharing, but this is blocking legitimate paid for usage. Very very poor. If I need to go out part way through watching the game and want to transfer to my phone to continue watching, I won’t be able to.",2019-09-13T02:44:09-07:00,3
Ummmm,wtfman88,Where do I sign up for sparks sports? Only got log in....🙄,2019-09-12T11:16:18-07:00,1
Magic techno stuff!,tfibfayvhin,"As a long-time sky subscriber I’m delighted with the new spark service. I watched a full game of football in heavy Auckland rain and didn’t get rain fade once! And all from my telephone! The future is awesome! (sorry to use a Vodafone slogan, but it’s true)",2019-09-05T13:04:08-07:00,5
Cannot Register for this,Mathedemics,Downloaded the app and unable to register for your product,2019-09-01T23:52:10-07:00,1
Poor quality,Dave24475665,"The casting feature is glitchy, the football stream is horrible, often glitches even if it’s playback worse when it’s live streaming. You’d be better off using third party apps.",2019-08-31T15:58:17-07:00,1
Error occurred,jazinio,"Wouldn’t expect items to not play at all or get half way through then freeze permanently. Commonly seen, an error occurred while playing this content, or general playback error, or cannot complete action.",2019-08-24T15:44:49-07:00,2
Complete utter joke!!!,Liamdiam,"This has got to be one of the worst experiences I’ve ever had trying to watch EPL. Didn’t manage to catch the start of the game live so tried clicking “watch from the start” and it sent me to the live playback anyway, giving me the score I spent 2 hours successfully ignoring. The week previous it kept logging out during the live broadcast, almost every 15 minutes. Maybe you should have spent more money developing the app rather than buying the rights to the sporting events you quite clearly aren’t capable of broadcasting.",2019-08-24T13:02:48-07:00,1
Ripped off,7SMV7,Tried the 7 day trial. Poor experience so cancelled. I cancelled on day 8 so they took a months subscription which is fair enough but even though I have paid for the month apparently I don't have an active subscription. Help desk is appalling. Good luck with the World Cup. My advice is keep your money.,2019-08-24T04:18:59-07:00,1
"Potential, but limited options at present",ExcusesofPuppets,"Promising, but doesn’t seem ready.

Not many options to control bandwidth evident, stream would degrade whenever there was a lot of movement, which happens a lot in sport. Not entirely sparks fault, but it would be good to be able to manually adjust bandwidth/quality.

Menu system still a bit cluttered and confusing for me. 

Biggest issue for me is that live streams are out of sync. Audio consistently 2 seconds behind the video. I tried to fix it by looking at spark FAQ and help pages. Absolutely nothing there other than a rather condescending suggestion that I check that my decide isn’t muted. Checked google for similar apps with this issue and did that, didn’t fix it.

So I can’t continue with a sub at this stage. The audio is just too annoying. When this is fixed I’ll reconsider.",2019-08-23T14:35:15-07:00,2
Very limited App,Sad Customer99,Won’t allow you to use a HDMI cable with an Apple Lightening Adaptor to view streaming on a TV 😢😭😢,2019-08-21T22:40:55-07:00,1
No compatibility whatsoever,The-Jim,"I have a 4k 3D Tv, Apple TV an iMac and iPhone. Guess what! I can’t watch this on my tv. Absolutely shocking and don’t know how you can justify $20 a month for sport that I can’t actually watch on my tv. 

Sort. It. Out.",2019-08-18T02:45:29-07:00,1
Rarely Works,Find hobfddrd,"The only place to watch the Premier League in NZ, and most of the time the service is “unavailable”. Hope they lose the contract because there’s a lot of disappointed fans out there now.",2019-08-17T05:46:14-07:00,1
Terrible coverage,R bertoni,Just not good enough - stay up late to watch a game and missing most of it,2019-08-17T05:42:21-07:00,1
Poor poor pooooooor,Christoblonde,"This app is forever bugging out, it will not allow you to reset your password, the definition is often terrible and the games are sometimes not ready to go live. Worst of all it’s not even cheap.",2019-08-17T03:12:06-07:00,1
Access to app information is incorrect,howcanyoufindanickna,"I have just been on a long, boring and ultimately fruitless chat with Spark Sport technical support.
The agent told me they are “aware customer experience is below expectations” and “will be making changes to app and streaming services after the World Cup.” 
How convenient for all outlets selling new tvs (mine’s 2018 & doesn’t support app without new generation Apple TV/Chromecast). 
I smell a rat Spark.",2019-08-14T23:30:32-07:00,1
Log on difficulties,Mister.Hamster,Cannot login to app. Repeated attempts “try again later”. Stick to phone box supply.,2019-08-13T01:42:00-07:00,1
Good,ggfgfggfg,Good,2019-08-11T21:26:19-07:00,5
Would not recommend,brucelovesthis,Honestly some of the worst streaming experiences I have ever had. Would not recommend at all.,2019-08-10T06:05:59-07:00,1
Poor!!!,JimmyMcMeek,Does not work,2019-08-10T01:45:33-07:00,1
Blurry,Stephanie Lowe,Bring back 60 FPS this picture quality is terrible.,2019-08-09T16:01:41-07:00,1
Underwhelming,Hannah Daggs,"Watched the first EPL game this morning and was underwhelmed. Goals were updated on another App I use to my Apple Watch about 60 seconds before they happened on the ‘live’ coverage. The picture quality deteriorated to a fuzzy state for 2 to 3 minute blocks every so often. 

It’ll have to get a lot better than this in time for the RWC.",2019-08-09T14:21:44-07:00,2
Frustrating,EcclesCL6,Struggled to watch Liverpool game this morning. Great picture but kept freezing and then ended up with a delay. Disappointing and will be interesting to see how it copes with the Rugby World Cup,2019-08-09T13:36:48-07:00,2
How am I going to watch premier league?!?,yehdbdhs,"I’ve downloaded the app now there is no option to even make an account.
Keeps on asking me to Log in then tells me I don’t have an account which obviously I don’t because it there’s no option to do so..",2019-08-08T19:09:53-07:00,1
Shocking quality streaming,L3e7,Absolute rubbish quality. On a gigabit connection the quality pf the streams is all blurry and unwatchable,2019-08-06T01:28:06-07:00,1
Not user friendly,ards21,Would like to see a chromecast option. Quality of video and audio could also be better,2019-08-05T19:20:27-07:00,2
App not loading content.,1234qwetasdg,The only thing it loads is to buy the rugby. It’s not all about the rugby.,2019-08-04T19:42:59-07:00,1
Couldn’t sign up.,Venomous tyrant,Couldn’t sign up on the app.,2019-08-02T06:44:31-07:00,1
Apple TV Channels compatibility?,McDaveS,"Wouldn’t this approach be simpler? Also, do we trust the local App/CDN for the RWC?",2019-08-01T09:13:12-07:00,2
she’s getting there,joegattototherighleclerc,sure is getting better. not perfect yet.,2019-07-26T02:11:10-07:00,3
Range of sports codes,donjeany17,"Hoping we will see an increase in the range of sports on offer - cycling , cricket etc.",2019-07-25T17:20:51-07:00,3
No AirPlay,Hack778899,How come it won’t work on my Apple TV as promised?,2019-03-14T01:34:38-07:00,1
Portrait???,dupka,"Ummmm - a portrait only app? Is this 2010 when the iPad 1st gen was launched? I never hold my iPad in portrait because, you know, it has a Smart Keyboard. You want to look into it - I know it's very difficult to keep up with all the new technology.

And no background playing of video? I know, I know, it's my fault for having a nice new iPad Pro that can multi-task. I should have just stuck with the 1st gen and stop watching the live sport to be able to check my email.",2019-03-14T01:27:34-07:00,2
Great start!,shady01nz,Very smooth and easy to use interface. Picture quality superb and buffering is negligible. Long may this continue.,2019-03-14T00:25:51-07:00,5
Solid start,khiginbottom_41,"Pros: Solid stream at good resolution. Casting works well to Apple TV. Good content (NBA!). 

Cons: Limited content. No Apple TV app.",2019-03-13T23:57:16-07:00,4
Good start,BarelyAnEmber,"As many others have noted, there is no way to register via the app.
The developer refers users to a website to register, the website insists on payment information being added to one’s account before registration can be completed.

Given we’ve been told via the media that this initial stage is really intended for beta testing, the perceived risk of forgetting about canceling the 30 day trial prior to charges being applied will, I imagine, turn a significant number of potential users (test subjects) off completing their registrations

On the upside, you’re getting consistent feedback which should be easy to implement changes to resolve. /facepalm",2019-03-13T21:27:07-07:00,1
Can’t register,ChocMilk007,"Can’t register properly to login, keep getting a 1404 error, not looking good to be able to watch Formula One tomorrow 🙈",2019-03-13T20:33:17-07:00,1
Spark sport,Martinpops,"Can’t logon!!!
Or register.",2019-03-13T15:39:25-07:00,1
Can’t register,Coopnz1,Open app... no option to register. Great start!,2019-03-13T15:31:52-07:00,1
Nowhere to register.,teeney2,Can’t register to log in.,2019-03-13T14:45:53-07:00,1
Awesome way to catch up on sports while on the go.,dobbygnz,Great way to catch up with some of my fav sports while on the go. Great vid quality which helps in the smaller screens.,2019-03-13T12:18:54-07:00,5
Can’t register,spafranco,"Have sent two email with regards showing interest. Have had no reply, can’t seem to register with app. Will this be sorted in the next 36 or so hrs?",2019-03-13T01:06:06-07:00,1
Stars,nothing works on this app,"How can this get 4 1/2 rating when
You can’t even register to login!",2019-03-12T16:24:02-07:00,1
Registration,Sam2076,Am I missing something or is there no registration button?,2019-07-12T00:49:36-07:00,1
Nothing like it advertises,I'm Brian,The $19.99 subscription is a Utter waste of money. Very few sports options. Rather pay for sky and get the satisfaction.,2019-07-10T13:44:46-07:00,1
Thanks for the Apple TV app!,Kryten NZ,"Great work getting the Apple TV app out the door! 

Unfortunately playback isn’t as smooth as you competitors (yet) and uh, where’s the on screen score and clock in the RWC games that are available?",2019-07-09T23:00:11-07:00,4
Apple TV,MitchSin19,Is really glitchy when trying to use through Apple TV. Keeps stoping and losing its place. Seems to have started with new update.,2019-07-01T00:54:50-07:00,3
Just sound .. no video,001suri01,When I connect phone to tv via hdmi.. just sound no video... what’s d solution..??,2019-06-20T15:38:29-07:00,1
Yuk,Supasoaker75,"Not a user friendly app. Can’t turn subscriptions on and off in the app. Each time I’ve wanted to use it I’m on the chat and have to reinstall it. 

All this from someone who was a paying user!

Good luck with the World Cup, your going to need it if my experience is anything to go by.",2019-06-13T00:31:01-07:00,1
Casting problem,alau90,"Most of the time, I am having issues casting formula one on the Chromecast, but it works on the mobile device. Are you guys able to fix the issue? If this keeps up I'm unsubscribing spark sports.",2019-06-07T14:09:45-07:00,1
Needs more content,Rockybainski,"Very limited amount of hockey, particularly looking for the European games eg Belgium vs Germany.

Also lags when watching f1. If this is the only option for RWC I suspect the nation will be very disappointed",2019-06-07T03:23:46-07:00,1
App doesn’t work,toomuchadsruingames,"Every time I try logging in it say there’s a login error, tried multiple times and still the same issue. Tried signing in online and the screen just goes back. Hopefully this isn’t an issue when the rwc is on",2019-06-01T14:08:27-07:00,1
Terrible,Golfboy-72,"Spark should be ashamed of this app. Quality is terrible... pushed for RWC, yet cannot AirPlay to an Apple TV despite saying it does. Can’t give a lower rating otherwise I would...",2019-05-30T01:37:52-07:00,1
Ok but needs work,Zunk01,Even though I am logged in and have purchased a Rugby Tournament Pass I am getting ads asking me to purchase one - confusing and unnecessary.,2019-05-26T15:38:52-07:00,3
Flips to sideways orientation on iPad,LiveMC,Impossible to watch - app rotates itself sideways when iPad Pro is in standard landscape mode ready for video.,2019-05-25T00:12:54-07:00,1
Not loading,wwyypppi,Just a blank screen when trying to load videos just now,2019-05-24T22:29:27-07:00,2
Landscape mode poor on ipad,TigersRugbyFan,"The app on iPad only presents its UI in portrait mode, but who wants to watch tv like that? Sure, landscape works after you hit playback, but you keep having to rotate your iPad when going between playback and doing anything else. Poor design, but should be easy to fix. Hopefully will be done before RWC.",2019-05-20T01:26:20-07:00,2
Rubbish,crazydogs3,"Worst app I have ever used. If I could watch formula one any other way I would ditch this app in a heartbeat. Glitchy, freezes, takes forever to even start. Spark sport need to get their act together and provide something that works reliably for the costs. Absolute rubbish!",2019-05-11T14:54:10-07:00,1
