Title,Author,Content,TimeStamp,Rating
This app is a joke,this app is a joke 149,Non unitive can’t cast to smart TVs have to sign up on a desktop can’t do it on iPad this app is a joke,2019-09-20T00:43:29-07:00,1
Gutted,Saxon TePapa,Gutted I can’t get on my LG tv,2019-09-19T19:20:06-07:00,1
Shayne,shay-no,This app is the worst ever.  It is asking me to log in and will not accept anything I enter.  It then keeps telling me I have the wrong password or login but I have never been given the opportunity to enter any details.  Hopeless,2019-09-19T02:02:20-07:00,1
Loving it,Tokyogtr1,So far I’ve been able to watch F1 perfectly anywhere. Even on a mountain with 3G. Great app always getting better.  Now if only it had PGA golf too!!,2019-09-18T22:37:42-07:00,5
Beware,Elkabyle,"Beware if you want to suspend your subscription... spark won’t let you watch any content from the date you cancel, NOT from the end of your billing cycle, unlike others like beIN or Netflix.
I suspended my account a week before the end of my cycle, thinking I could watch another week. No luck. And they don’t want to give a partial refund. They still treat customers very badly. 
Would not recommend for that reason.",2019-09-15T22:49:00-07:00,1
How do I log in,Jakaree32,How do I log in? I enter my email address and password and it says it’s invalid? But there’s no we’re to register??,2019-09-14T18:51:43-07:00,1
Damo,Jettison5,Terrible app and service. 2nd time now that a few premier league soccer games weren’t  posted for steaming. It’s opposed to be on Demand!!! Give us the service we are paying for!!!!!,2019-09-14T15:55:43-07:00,1
"Hopeless, it’s useless for the rugby World Cup.",the big fletch,"$89 for an app that won’t run on my Apple TV 4. I have the correct app and correct Apple TV but it refuses to accept my password. 
I tried to live chat for help but it’s closed for the night, no help. 
The help page is of no help.
I have updated my Apple TV, it’s good to go. But the app is hopeless, it won’t logon. Don’t buy it, it’s not worth the money for the rugby World Cup.",2019-09-14T01:59:29-07:00,1
Worst streaming experience ever - too restrictive,Danger Mouze,"Tells me I’m using in too many devices. I’ve only ever used on my phone and one pc. I log out my sky sport account on the pc and closed the browser. Open the app and it says I cannot watch - too many devices in use. There are no (zero) other devices in use. I understand the desire to stop sharing, but this is blocking legitimate paid for usage. Very very poor. If I need to go out part way through watching the game and want to transfer to my phone to continue watching, I won’t be able to.",2019-09-13T02:44:09-07:00,3
Ummmm,wtfman88,Where do I sign up for sparks sports? Only got log in....🙄,2019-09-12T11:16:18-07:00,1
Magic techno stuff!,tfibfayvhin,"As a long-time sky subscriber I’m delighted with the new spark service. I watched a full game of football in heavy Auckland rain and didn’t get rain fade once! And all from my telephone! The future is awesome! (sorry to use a Vodafone slogan, but it’s true)",2019-09-05T13:04:08-07:00,5
Cannot Register for this,Mathedemics,Downloaded the app and unable to register for your product,2019-09-01T23:52:10-07:00,1
Poor quality,Dave24475665,"The casting feature is glitchy, the football stream is horrible, often glitches even if it’s playback worse when it’s live streaming. You’d be better off using third party apps.",2019-08-31T15:58:17-07:00,1
Error occurred,jazinio,"Wouldn’t expect items to not play at all or get half way through then freeze permanently. Commonly seen, an error occurred while playing this content, or general playback error, or cannot complete action.",2019-08-24T15:44:49-07:00,2
Complete utter joke!!!,Liamdiam,"This has got to be one of the worst experiences I’ve ever had trying to watch EPL. Didn’t manage to catch the start of the game live so tried clicking “watch from the start” and it sent me to the live playback anyway, giving me the score I spent 2 hours successfully ignoring. The week previous it kept logging out during the live broadcast, almost every 15 minutes. Maybe you should have spent more money developing the app rather than buying the rights to the sporting events you quite clearly aren’t capable of broadcasting.",2019-08-24T13:02:48-07:00,1
Ripped off,7SMV7,Tried the 7 day trial. Poor experience so cancelled. I cancelled on day 8 so they took a months subscription which is fair enough but even though I have paid for the month apparently I don't have an active subscription. Help desk is appalling. Good luck with the World Cup. My advice is keep your money.,2019-08-24T04:18:59-07:00,1
"Potential, but limited options at present",ExcusesofPuppets,"Promising, but doesn’t seem ready.

Not many options to control bandwidth evident, stream would degrade whenever there was a lot of movement, which happens a lot in sport. Not entirely sparks fault, but it would be good to be able to manually adjust bandwidth/quality.

Menu system still a bit cluttered and confusing for me. 

Biggest issue for me is that live streams are out of sync. Audio consistently 2 seconds behind the video. I tried to fix it by looking at spark FAQ and help pages. Absolutely nothing there other than a rather condescending suggestion that I check that my decide isn’t muted. Checked google for similar apps with this issue and did that, didn’t fix it.

So I can’t continue with a sub at this stage. The audio is just too annoying. When this is fixed I’ll reconsider.",2019-08-23T14:35:15-07:00,2
Very limited App,Sad Customer99,Won’t allow you to use a HDMI cable with an Apple Lightening Adaptor to view streaming on a TV 😢😭😢,2019-08-21T22:40:55-07:00,1
No compatibility whatsoever,The-Jim,"I have a 4k 3D Tv, Apple TV an iMac and iPhone. Guess what! I can’t watch this on my tv. Absolutely shocking and don’t know how you can justify $20 a month for sport that I can’t actually watch on my tv. 

Sort. It. Out.",2019-08-18T02:45:29-07:00,1
Rarely Works,Find hobfddrd,"The only place to watch the Premier League in NZ, and most of the time the service is “unavailable”. Hope they lose the contract because there’s a lot of disappointed fans out there now.",2019-08-17T05:46:14-07:00,1
Terrible coverage,R bertoni,Just not good enough - stay up late to watch a game and missing most of it,2019-08-17T05:42:21-07:00,1
Poor poor pooooooor,Christoblonde,"This app is forever bugging out, it will not allow you to reset your password, the definition is often terrible and the games are sometimes not ready to go live. Worst of all it’s not even cheap.",2019-08-17T03:12:06-07:00,1
Access to app information is incorrect,howcanyoufindanickna,"I have just been on a long, boring and ultimately fruitless chat with Spark Sport technical support.
The agent told me they are “aware customer experience is below expectations” and “will be making changes to app and streaming services after the World Cup.” 
How convenient for all outlets selling new tvs (mine’s 2018 & doesn’t support app without new generation Apple TV/Chromecast). 
I smell a rat Spark.",2019-08-14T23:30:32-07:00,1
Log on difficulties,Mister.Hamster,Cannot login to app. Repeated attempts “try again later”. Stick to phone box supply.,2019-08-13T01:42:00-07:00,1
Good,ggfgfggfg,Good,2019-08-11T21:26:19-07:00,5
Would not recommend,brucelovesthis,Honestly some of the worst streaming experiences I have ever had. Would not recommend at all.,2019-08-10T06:05:59-07:00,1
Poor!!!,JimmyMcMeek,Does not work,2019-08-10T01:45:33-07:00,1
Blurry,Stephanie Lowe,Bring back 60 FPS this picture quality is terrible.,2019-08-09T16:01:41-07:00,1
Underwhelming,Hannah Daggs,"Watched the first EPL game this morning and was underwhelmed. Goals were updated on another App I use to my Apple Watch about 60 seconds before they happened on the ‘live’ coverage. The picture quality deteriorated to a fuzzy state for 2 to 3 minute blocks every so often. 

It’ll have to get a lot better than this in time for the RWC.",2019-08-09T14:21:44-07:00,2
Frustrating,EcclesCL6,Struggled to watch Liverpool game this morning. Great picture but kept freezing and then ended up with a delay. Disappointing and will be interesting to see how it copes with the Rugby World Cup,2019-08-09T13:36:48-07:00,2
How am I going to watch premier league?!?,yehdbdhs,"I’ve downloaded the app now there is no option to even make an account.
Keeps on asking me to Log in then tells me I don’t have an account which obviously I don’t because it there’s no option to do so..",2019-08-08T19:09:53-07:00,1
Shocking quality streaming,L3e7,Absolute rubbish quality. On a gigabit connection the quality pf the streams is all blurry and unwatchable,2019-08-06T01:28:06-07:00,1
Not user friendly,ards21,Would like to see a chromecast option. Quality of video and audio could also be better,2019-08-05T19:20:27-07:00,2
App not loading content.,1234qwetasdg,The only thing it loads is to buy the rugby. It’s not all about the rugby.,2019-08-04T19:42:59-07:00,1
Couldn’t sign up.,Venomous tyrant,Couldn’t sign up on the app.,2019-08-02T06:44:31-07:00,1
Apple TV Channels compatibility?,McDaveS,"Wouldn’t this approach be simpler? Also, do we trust the local App/CDN for the RWC?",2019-08-01T09:13:12-07:00,2
she’s getting there,joegattototherighleclerc,sure is getting better. not perfect yet.,2019-07-26T02:11:10-07:00,3
Range of sports codes,donjeany17,"Hoping we will see an increase in the range of sports on offer - cycling , cricket etc.",2019-07-25T17:20:51-07:00,3
