Title,Author,Content,TimeStamp,Rating
Useless,Dirtypetenz,"App performs poorly, looks good from a UI perspective but the back end is terrible.

Week before the biggest rugby event, letter arrives saying we can’t watch due to the internet at our place (provided by spark who own Spark sport). Now this is an issue but not sparks sports, so I made arrangements to view at a mates place who has 100/20. So I know that’s good. This is where the troubles start. 

Picture quality is terrible,  stutters and looses picture all the time, the 3 dots of death (buffering) and audio issues, and that’s just so far. This company were not prepared to put development into this app or the back end and have been blaming everyone or thing for the issues. The overseas streaming is done by Akamai, who appear to know what they are doing but the app constantly freezes and crashes. I’ve turned the auto update on, deleted it and reinstalled it, then not used the app and used the website and got the same results.

I should have read the reviews that pointed out constant streaming issues with smaller events. I have no faith this will be fixed without the company ducking for cover, and anticipate a copy and paste reply or passive aggressive reply about this review. Check their Facebook page for more info about the app issues and streaming issues, but be aware, they are deleting people’s comments. 

Poor effort spark sport, poor streaming and crashes has ruined the RWC for us all.",2019-10-06T02:03:23-07:00,1
Absolutely average,ghost shagger,Watching delayed World Cup games an you can’t fast forward ads at half time or rewind to see tries or incidents that have happened. A simple update of this would help. Frustrating at all hell,2019-10-05T23:47:05-07:00,1
Smooth stream,LJE96,No problems streaming via chromecast/iPhone on VDSL and fibre connections made affordable compared to getting locked into a contract with sky,2019-10-05T21:41:50-07:00,5
Minus 5 Stars,Smbazalo,"An absolute piece of sh**. 

Spent half the RWC games watching it buffer. Swapping in an out from just about acceptable quality to crappy 20 pixels on the screen quality. Or having to restart it cause the stream crapped itself.

Designed well. But unusable for watching the World Cup when it comes to the connection of the stream.  

:(",2019-10-05T02:18:19-07:00,1
What a joke,Marossi,What a joke,2019-10-04T22:49:40-07:00,1
Spark!,Halalmeets,"Why can’t I watch? 
It says NZ has been knocked out. ‘No further matches’",2019-10-02T03:28:28-07:00,1
Not bad... but,KIWI330,"Haven’t had too many problem’s but for some reason if you try to start watching game a little after kick off it doesn’t work. It only says coverage will start shortly. Real pain as I’ve missed the first 15-20 minutes of a few games during the RWC because after some time it gets annoying and switch the live feed. 
Other than that the picture quality is normally very good, I do have very good fibre though.",2019-10-02T01:24:09-07:00,3
Unreliable,Redgenz,"Buggy, slow and unreliable. A great way to watch the RWC.",2019-10-01T11:44:05-07:00,2
So much lag on the app,newsunder23,"I have paid for the subscription of this app so that I can watch a decent game of football but the app isn’t half as good bein spots . The streaming doesn’t function without lagging, not even once. 
I hope they really work on this app or else they will loose the market sooner than later.",2019-09-30T22:08:50-07:00,2
Can’t Register,tallllliiii,How do I register for this App,2019-09-30T00:04:52-07:00,5
Good,HouseCat88,"Looking great at 1080p 60fps on my chromecast ultra. 
Only slight issue is the noticeable artefacting on the grass/field when the wide angle camera pans left or right ( in the World Cup rugby 2019)

It may be a technical stretch but if you could bump the bitrate to 10Mbps I think the picture would look outstanding 🙂👍🏻",2019-09-29T19:38:00-07:00,4
Unreliable,JohnlivesinNZ,Sometimes when watching using airplay it will work fine but half the time when I close my phone it will exit out of the live or recorded game and I will have to reconnect and find my place. I use Fibre internet so isn’t an internet issue ... :(,2019-09-29T17:49:29-07:00,2
Very limited app,hexeyman,"Updated review
I reviewed this several months ago during the beta release and a free trial, giving it 2 out of 5. Coming back to it recently not much has changed.

On the plus side:
-Picture quality is good on my iPhone and laptop. There are occasional pauses for buffering but nothing serious with my 100mbs fibre connection. That is the plus points done with. 

On the negative side:
- There is no search function meaning it is difficult to find what you want quickly.
- There is no way to identify the sports and events of interest to you meaning the home page is dominated with irrelevant content.
- Sound consistently becomes out of sync with the picture. The longer the event the greater the difference. For example, at the end of a 2 hour Grand Prix this is a 5 to 10 second difference. Reloading the stream doesn’t fix it.
- It is impossible to purchase access for individual sports events. You need to pay full price for everything even if you don’t want it. Interested in a particular grand prix or football match but don’t want to pay for the whole service? Tough. Pay for everything or get nothing. It is an outdated business model which doesn’t fit a streaming service. 

I still cannot recommend this product. It needs significant improvements to deliver and consistent product and pricing model which welcomes those with a passing interest to watch instead of serving die hard fans.",2019-09-29T15:54:01-07:00,2
App is pointless,teeelesssa,Not recommended if you want to watch Rugby World Cup. Wasted money on this. Also it kept dropping off my casting options. So there were times where I couldn’t stream to the tv had to watch it on my phone.,2019-09-28T07:18:00-07:00,1
Rubbish,hatespark,"It casting ok sometimes and not other times...don't have any issues casting Netflix, Neon etc...just Spark Sports. Spark has ruined Sports viewing in NZ",2019-09-28T05:04:56-07:00,1
Not a Good Experience,eracode,"Subscribed for RWC. Watching games on-demand at off-peak times, many times during a game the picture pixelates and freezes. Also the picture is continuously switching in and out of HD all though a game. Overall not a great experience.

Watching via ultrafast fibre, iPad Pro > Chromecast > 2018 LG OLED TV.

Spark Sport promised there would be an app for this TV so we paid for the app in good faith - then they reneged on their promise. Unimpressed.

Edit: Just watched our first live game - JPN v IRE. More pixelation, freezing, buffering. Very frustrating. About half the game was at less than HD resolution. Simply not good enough. Have changed rating from 2- to 1-star.",2019-09-28T02:53:42-07:00,1
Can’t log in,magnoliabl,"Can’t log in on my phone, even though it works fine on my laptop (and I’m logged out on my laptop, been through all the troubleshooting). Got the same problem on the TV today even though the TV worked fine previously. Rubbish!",2019-09-28T02:05:18-07:00,1
Image freeze,mynameisills,Image constantly freezes when there is a static graphic on screen while streaming from iPhone to AppleTV. The audio still plays however. A quick fast forward brings back the moving video.,2019-09-27T21:41:42-07:00,2
Really poor on all levels,Farrofresh,"Really poor app - but even more so absolutely terrible marketing ads. Seriously - someone shouting ‘Spark sport’ over and over? There’s such a big disconnect between the business and users, you really need to engage in some rigorous consumer engagement sessions to understand your customer.",2019-09-27T16:43:33-07:00,1
New iOS killed chromecast,Bigleftys,"App works fine apart from no longer letting me cast to chromecast since I updated my iPhone to the new iOS. 

Disappointing.",2019-09-27T16:07:27-07:00,2
Not Fit For Purpose,can you see RWC ?,Why will this app still not load and play the content ???,2019-09-25T01:21:29-07:00,1
Works well for me,PG 435,The negative reviews seem exaggerated to me. I’ve watched four RWC games so far and have had no issues whatsoever. Love the lack of ads. Good on Spark for trying something new and breaking the Sky monopoly.,2019-09-22T17:28:00-07:00,5
Unreliable on iPad,georgema,"Poor quality stream last week but ok on laptop and phone.  This week can’t stream as get a message saying need a subscription, which I already have, and am logged in. Using phone now but it’s a faff and should work if I have an up to date subscription. 2018 iPad 9.7 in using latest OS as of 23/9/19",2019-09-22T05:44:35-07:00,2
Yos,nigroa,Inconsistent quality and video flow needs a lot of work can also lag a lot,2019-09-22T03:23:46-07:00,1
Rubbish app; casting problems,Nitrosnav,There hasn’t been a single instance where we’ve been casting video on Apple TV from the app and the video does not freeze. Every. Single. Time. Especially if there is an ad break and/or a static image on screen. Just a pathetic excuse for an app that casts to Apple TV. FIX IT PLEASE !,2019-09-21T19:27:46-07:00,1
Works well most of the time,Phil_N,No problems with functionality in a variety of situations including hotel wifi with a VPN for security. Some buffering during SA game but picture quality outstanding.,2019-09-21T17:55:05-07:00,4
Very poor option - find something else,ffthjvhjvghjctyjkgu,"Update: extremely poor handling. You should never have taken on this service if you could not handle it. I’m happy it’s working for some people, but the buffering and freezing makes live sport unwatchable for others, including me. We were able to watch the first three games with just some quality issues, but the ABs game was terrible - gave up. Want a full refund.",2019-09-21T15:09:20-07:00,1
Disappointed,asteer15,Watching the game live it was very blurry at times not the greatest app was better watching when sky had the World Cup pretty disappointed,2019-09-21T13:27:17-07:00,3
